ID,姓名,拼音,八字评分,五格评分,命主星宿,命宫,笔划数,重名数,女生占比,男生占比,性别偏向,总分
1,金溪樗,xīchū,76.5,81.5,（亢）宿,震宫（东四命）,28,0,0,0,中性,158.0
2,金泓樗,hóngchū,89.5,94.5,（亢）宿,震宫（东四命）,23,0,0,0,中性,184.0
3,金波樗,bōchū,95,100,（亢）宿,震宫（东四命）,23,0,0,0,中性,195.0
4,金樗翰,chūhàn,88.5,98.5,（亢）宿,震宫（东四命）,31,0,0,0,中性,187.0
5,金深樗,shēnchū,76.5,81.5,（亢）宿,震宫（东四命）,26,0,0,0,中性,158.0
6,金樗藩,chūfān,69,79,（亢）宿,震宫（东四命）,33,0,0,0,中性,148.0
7,金汝樗,rǔchū,85.5,90.5,（亢）宿,震宫（东四命）,21,0,0,0,中性,176.0
8,金鸿樗,hóngchū,84.5,89.5,（亢）宿,震宫（东四命）,26,0,0,0,中性,174.0
9,金澧樗,lǐchū,84.5,89.5,（亢）宿,震宫（东四命）,31,0,0,0,中性,174.0
1,金樗风,chūfēng,85.5,95.5,（亢）宿,震宫（东四命）,19,0,0,0,中性,181.0
2,金涂樗,túchū,49.5,67.5,（亢）宿,震宫（东四命）,25,0,0,0,中性,117.0
3,金泳樗,yǒngchū,89.5,94.5,（亢）宿,震宫（东四命）,23,0,0,0,中性,184.0
4,金澧樗,lǐchū,84.5,89.5,（亢）宿,震宫（东四命）,31,0,0,0,中性,174.0
5,金闲樗,xiánchū,76.5,81.5,（亢）宿,震宫（东四命）,22,0,0,0,中性,158.0
6,金蒙樗,méngchū,95,100,（亢）宿,震宫（东四命）,28,0,0,0,中性,195.0
7,金樗溪,chūxī,88,98,（亢）宿,震宫（东四命）,28,0,0,0,中性,186.0
8,金樗淙,chūcóng,88,98,（亢）宿,震宫（东四命）,26,0,0,0,中性,186.0
9,金樗江,chūjiāng,80.5,90.5,（亢）宿,震宫（东四命）,21,0,0,0,中性,171.0
10,金湘樗,xiāngchū,78.5,83.5,（亢）宿,震宫（东四命）,27,0,0,0,中性,162.0
1,金禀樗,bǐngchū,78.5,83.5,（心）宿,震宫（东四命）,28,0,0,0,中性,162.0
2,金樗瀚,chūhàn,79.5,89.5,（心）宿,震宫（东四命）,34,0,0,0,中性,169.0
3,金樗沧,chūcāng,88,98,（心）宿,震宫（东四命）,22,0,0,0,中性,186.0
4,金涛樗,tāochū,89.5,94.5,（心）宿,震宫（东四命）,25,0,0,0,中性,184.0
5,金樗绥,chūsuí,69,79,（心）宿,震宫（东四命）,25,0,0,0,中性,148.0
6,金樗淅,chūxī,88,98,（心）宿,震宫（东四命）,26,0,0,0,中性,186.0
7,金绥樗,suíchū,78.5,83.5,（心）宿,震宫（东四命）,25,0,0,0,中性,162.0
8,金鸿樗,hóngchū,84.5,89.5,（心）宿,震宫（东四命）,26,0,0,0,中性,174.0
9,金樗浮,chūfú,69.5,79.5,（心）宿,震宫（东四命）,25,0,0,0,中性,149.0
10,金樗江,chūjiāng,80.5,90.5,（心）宿,震宫（东四命）,21,0,0,0,中性,171.0
1,金潍樗,wéichū,89.5,94.5,（心）宿,震宫（东四命）,29,0,0,0,中性,184.0
2,金樗谱,chūpǔ,67,77,（心）宿,震宫（东四命）,29,0,0,0,中性,144.0
3,金樗泽,chūzé,79.5,89.5,（心）宿,震宫（东四命）,23,0,0,0,中性,169.0
4,金樗湄,chūméi,69,79,（心）宿,震宫（东四命）,27,0,0,0,中性,148.0
5,金万樗,wànchū,91.5,96.5,（心）宿,震宫（东四命）,18,0,0,0,中性,188.0
6,金樗治,chūzhì,85.5,95.5,（心）宿,震宫（东四命）,23,0,0,0,中性,181.0
